GEN.1.1	Gaihcij dwg Cangqdiq cauh gwnzmbwn caeuq lajdeih okdaeuj he. 
GEN.1.2	Ngamqngamq cauh mwhde, gijmaz gijmaz cungj mij baenz maz yiengh—hoengq vatvat, laep saengxsaengx, laeg lumxlumx, luj raemx laeg mij'z daej nwih. Gij Hoenzsaenz Cangqdiq youq gwnz raemx mbin yubyub.
GEN.1.3	Gajlaeng Cangqdiq naeuz: “Rongh!” Yiengq couh doq miz rongh lo. 
GEN.1.4	De raen gij rongh he baenz; couh dawz gij rongh caeuq gij laep doxfaen okdaeuj. 
GEN.1.5	De couh an gij rongh heuh guh ‘doengxngoenz,’ gij laep an guh ‘doengxngwnz.’ Yiengq doengxngoenz caeuq doengxngwnz, couh dwg ngoenz he lo.
GEN.1.6	Gajlaeng Cangqdiq caiq naeuz: “Caengz gvangq yubyub he mbe okdaeuj! Cab haeuj gij raemx he bae, dawz gij raemx doxgek hwnjdaeuj!” 
GEN.1.7	Yiengq de doq gangj couh doq baenz lo. De cauh ok caengz gvangq yubyub mwnq le, couh dawz gij raemx gek baenz song caengz hwj, caengz he youq baixgwnz, caengz he youq baixlaj, couh yienghneix cauh baenz lo. 
GEN.1.8	De couh heuh caengz cungqgyan mwnq guh ‘mbwn.’ Yiengq doengxhaet goq, doengxhaemh daeuj, couh dwg ngoenz daixngeih lo.
GEN.1.9	Cangqdiq caiq naeuz: “Gij raemx laj mbwn gyonj youq mwnq he hwj! Hawj gij doem loh okdaeuj!” Yiengq de doq gangj couh doq baenz lo. 
GEN.1.10	De an mwnq doem hawq mwnq heuh guh ‘deih,’ an mwnq raemx doxgyonj mwnq heuh guh ‘haij.’ De raen yienghneix caemh baenz.
GEN.1.11	Cangqdiq caiq naeuz: “Doem, hwnj doeng go sae go! Hwnj go dawz ceh hah, go mak miz ceh hah! Hwnj gak go gak yiengh.” Yiengq de doq gangj couh doq baenz lo. 
GEN.1.12	Gij doem couh yienghneix miz doeng go sae go heu swdswd he did hwnjdaeuj: go haeux hah, go byaek hah, go mak hah, gak go gak yiengh. De raen yienghneix caemh baenz. 
GEN.1.13	Yiengq doengxhaet goq, doengxhaemh daeuj, couh dwg ngoenz daixsam lo.
GEN.1.14+GEN.1.15	 Cangqdiq caiq naeuz: “Doengh aen rongh sagsag!” 
GEN.1.16	Couh yienghneix, de cauh song aen rongh sagsag hung he, 
GEN.1.17	Cangqdiq dawz doengh aen rongh neix baij coengq youq gwnzmbwn, hawj doengh aen de ciuq roengz lajdoem ma, ciuq goqdoh, 
GEN.1.18	hawj doengh aen de dingh ok doengxngoenz doengxngwnz, faen ok gij rongh caeuq gij laep. De raen yienghneix caemh baenz. 
GEN.1.19	Yiengq doengxhaet goq, doengxhaemh daeuj, couh dwg ngoenz daixseiq lo.
