MAT.1.1	Devit ninado Abraham nah sapfii mpou Jisu Kristamah adoidoi tiisii lungkahum Pfiitat mah larek.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Abraham sekpii sagong Devit katang peipaomeihang tei: Abraham, Isak, Jakob, Judah ninado mpouki sanamei, teito Perez ninado Zera (ah- nyii mah pwitei Tamarle), Hezron, Ram, Aminadab, Nashon, Salmon, Boaz (Mpou pwitei Rahab-le) Obed (Mpou pwitei Ruth le) Jesse ninado Sagong Devit.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Devit sekpii Isrelmei nahgo Bebilon ki kabang kikii kakai katang peipaomei hangtei: Devit, Solomon (mpou pwitei tinglang kareiki Uriya- nou katiipei teile.) Rehobam, Abija, Asa, Jehoshapat, Jehoram, Uziya, Jotham, Ahaz, Hezekiya, Manasseh, Amon, Joshiya, Jehoichin, ninado mpouki sanamei.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Bebilon kabang kikii kakai teisekpiinii Jisugo kalung tinglang katang peipaomei hangtei: Jehoichin, Shealthiel, Zerubabel, Abiud, Iliakim, Azor, Zadok, Achim, Iliud, Ilezar, Mathan, Jakob ninado Krista sii kalat Jisu pwi Merigo kamanoupii Joseph. 
MAT.1.17	Teipiinii Abraham sekpiinii Devit katang tei pao kearii- siimadai nkhiile, sateichii Devit sekpiinii Bebilon ki kabang kikii kakai katang tei pao keariisii madai nkhiile, sateichii Kristago kamanaa tinglang katang tei pao keariisii- madai nkhiile.
MAT.1.18	Jisu Kristago aitiisii manaale, Mpoupwi Meri ai Joseph kikii n-nhii- tak aitakle, nlenii ahnei hangna kapang kasunakii, mpoupwi ai rangii kamatei nah mpung leitakle katu tei tigong takle. 
MAT.1.19	Sateichii mpoupei mah naa Joseph ai kasang kamajyii- mei katu taiswisii meihang doito mpoupeigo tiisangamrousii makumpii mpat aitang taklesii maning takle. 
MAT.1.20	Nlenii mpounii aitiisii maning leibangpii, Julo, sating gamlui hangninanii mpou mah mang kito gongsii tamle, “He Devit nah sapfii mpou Joseph, gonou Merigo pang hing sulo, kadapokii mpoupei lungto mpung kalei tei rangii kamatei datole.
MAT.1.21	“Mpoupeinii nah sapfiimei hangninii lungtangle, sateichii nang- nii mpou zei Jisu sii lat tangle, daponii mpoumah mei hang go ahnyii mah kem kito Ahnii keipyii tangle.” 
MAT.1.22	Abangpiinii Lungkakalingmeigo tam matu katu samtei gong matwi matutang karam jangpii aihang ai pat takle, teiteinii:
MAT.1.23	“Julo, ralhiipei kamatei pei teinii moi mpungsii, nah sapfiimei hangninii lung tangle, sateichii ah- nyiinii mpou zei tei Immanual lattangle”
MAT.1.23	(teimah kaangnii, “Saraanii nyiigo kaswileile”). 
MAT.1.24	Sateichii Josephnii zyii kalei kito gungtusii Bangpii mah sating gamluinii mpougo kakhatsii tam kabam taiswisii mpou-nougo pang wotakle, 
