LUK.1.1	Hanau waunauthathee hadnedanuu hejadenenau hadjenanuu hauthase vavesee hauthedau hena hayauhuhau nanāe hājavaānethauwuthajauthaunin, 
LUK.1.2	Hasevenānauau nanaa hehethee jasesee vasesā hāenuu nau nejaanuu hanadedaunau; 
LUK.1.3	Hasethajaunau hethadee heee nananenau jea, vavesethaugudenau vahee hayauhuhau hehetheejasesee hadnewauthaunauwunathane nedānee, javaānethadee Theauthenus, 
LUK.1.4	Hadeaenauwu hethauwuu hena hayauhuhau nesechauhauthehane. 
LUK.1.5	Hena hese Herod, naja Judea, jasaa vevethahehe Zacharias haseede, hadauchunanede Abia: nau henene hedaunāhene Aarauneau, nau heneseedaunin Elisabeth. 
LUK.1.6	Nau haenesauuthāhenauau hathaāhenith Hejavaneauthu, thaunaugudethee vahee nanavaavedaunau nau hauchuwudaunau Vahadāde dejauthauwuvade. 
LUK.1.7	Nau hehauwunesaunenauau, hanau henee hehauwunesaune Elisabeth; nau wauwu haenesauu vaehahenenauau. 
LUK.1.8	Nau hethauwuu, henee daunausuvadanedaude hathaāhenith Hejavaneauthu hāenauauchaude, 
LUK.1.9	Nesedaunethe vevethahehehau, nesedaude hadnejaāde yehauthe hevadannauauwunene Vahadāhenith. 
LUK.1.10	Nau haunauude henanedanede haevevethahedaune jathee nauauchuu jaa. 
LUK.1.11	Nau haenauhauva hautheaune Vahadāde haetheaugune hejavese jaanaa. 
LUK.1.12	Nau hāenauhauwaude Zacharias, haejanethajau, nau nāthajaude haeedasaa. 
LUK.1.13	Hau nuu hautheaune, jevanāthajau hathāhuk, Zacharias: havevethahede nanedauwuhuu; nau hadasea Elisabeth hadjanesewaude hāau, nau Jaun hadeseau. 
LUK.1.14	Nau nananin hadaunauwuthajau nau hadeneethajau; nau hadnewauthathee neethajauthee hāejanesee. 
LUK.1.15	Hanau haudvasāthaa hathaāhenith Vahadāhenith, nau haudnehauwuvane daudause dadajevenenaje, wauāthe neauthunaje; nau haudnechauchaunaudede Hevadanauwauthauwunene Hejavaneauthu, haa hehethee hāejanesee. 
LUK.1.16	Nau haudnewauthaa dāeyaunenede Israel hadjaechuwauyāaunaude hesee Vahadāhenith Henesaunaunenau. 
LUK.1.17	Nau haudnedauwaunaude nauguu Vadanauwauthauwu nau neesenaudāhenith Elias hadjaechuwauyāauau vadauhau henesaunaunenau hesee dāeyaunauauau nau nejenedauvathee gaugauuthajaudenau hadauethadee; hadnesaanudede henanedanede hesanaa hesee Vahadāhenith. 
LUK.1.18	Nau Zacharias naudedusaene nuu? wauwu vanaehahenenau nau nadasea wauwu vadavehahenede, hathauhuk hautheaune. 
LUK.1.19	Nau hautheaune hanaāauchuhananadethāde, Nananenau Gabriel henee theaugudaunauau hathaāhede Hejavaneauthau; nau janeautheavānau haudnāedauwunathana, nau hadnauhauthehathana nuu neethajaude waunauyauau. 
LUK.1.20	Nau, naune, nananin haudnejanadene nau haudnehauwuneanade, haunaude hese nuu hayauhuhau nauauchaugu hethauwuu, hanau nananin daujethauwaudauwu nadanadede, nuu hadnethauwunauauchuu nauauchaugaune. 
LUK.1.21	Nau henanedanede haedauyauhauvanauau Zacharias, nau haegaugauanadauwu henee dauguthetheaugude vadannauauwuu. 
LUK.1.22	Nau hāejenauāhede, haejeneanadetha: nau haeaenauwu daunauhauthāde vadannauauwuu: haevathasauwuna nau haejanade. 
LUK.1.23	Nau hethauwuu, henee, chauchaunu hese hāesevadanedaude haeyehau hesee nehayau hedauauwuu. 
LUK.1.24	Nau heee hena hese henene Elisabeth hanaāenesaunenith, nau haegauduse nehayau hayauthaunenethe hesese heee, hanaāenehede, 
LUK.1.25	Hesau Vahadāde naasehānau hesee hāedaugauhauvānau hadgudanauwunānau nāedayāhede henanedaa. 
LUK.1.26	Nau nanedaudauchuauwaude hesese hautheaun Gabriel haejeautheawau hehethee Hejavaneauthu hesee hedan Gananee haseenaugu Nazareth, 
LUK.1.27	Hesāhedāeyaun haeenenehauwaune henanin Joseph haenaneeseenith, hehethee hedauauwuu David; nau hesāhedāeyaun Mare haenaaseede. 
LUK.1.28	Nau hautheaun haeedasaa, nau hanaāenehethāde, Haunauwuthajau, nananin vechauthane, Vahadāde hanedaudaunāne: hauwunaunane hesānaa. 
LUK.1.29	Nau hāenauhauwaude, haejanethajaude hedanadedaunin, nau haegaugauanade daun hadnesenaunenechuhude nuu hadnesauau. 
LUK.1.30	Nau hautheaun, Jevanāthajau, hathāhuk, Mare: hanau nananin vechauthāne Hejavaneauthau. 
LUK.1.31	Nau, naune, nananin hadnenesaunin, nau hadneahene, nau JESUS hadeseau. 
LUK.1.32	Hadvasāthaa, nau Vāā Hejavaa hadethauva: nau Vahadāde Hejavaneauthau hadvenaude naja theaugudau henesaunaune David: 
LUK.1.33	Nau hadnajawaudauau hededanin Jacob jethauujenee; nau henajanede hadnehauwuthauuvadauaune. 
LUK.1.34	Hanaāenehethaude Mare nuu hautheaune, Haddusenesau nuu hanau nāhauwāenaunau henane? 
LUK.1.35	Nau hautheaun hanaāauchuhananadethāde, Hejavaneauthau Hevadanauwauthauwu hadnedasāne: nau naunauthauau Hejavaa haddugauyāaunāne; henaheee jea henee Naunaudāde hadnenesaunewaude Heau Hejavaneauthau hadnethade. 
LUK.1.36	Nau, naune, have Elisabeth, jea wauwu henesaunede hadneahede wauwu dauvadavehahenede: nau nuu nanedaudauchunethe hesese wauwu hehauwunesaune neethade. 
LUK.1.37	Hanau Hejavaneauthau vahee neneedede hayauhuhau. 
LUK.1.38	Nau naune, Vahadāde daununānau hahagu Mare, hadnaasauau nuu hasenehene, nau hautheaun hanaāenauthāde. 
LUK.1.39	Nau Mare hanaāethauwauthede hena hese, nau hanaāehaude jauaudanenauauwuu nauhauhaunee hesee hedan Juda; 
LUK.1.40	Nau hanaejedāde hedauauwunene Zacharias, nau haenaunenechautha Elisabeth. 
LUK.1.41	Nau hethauwuu, henee, Elisabeth hāenedauwauthaude daunaunenechuhunith Mare, dāeyaunaa haenauauwuja hethauwaudauau; nau Elisabeth haeechauchaunaude Vadanauwauthauwu: 
LUK.1.42	Nau haevasanade, nau hanaāenehede, Hauwunaunane hesānaa, nau hauwunaunade dāeyaunaa hethauwaudauau. 
LUK.1.43	Nau naudauhuthedasaa nuu, henee henaune Navahadāhewaunāde hadnedasānau? 
LUK.1.44	Hanau, naune, chauchaunu hanadedaunau haunaunenechauhude hāenedauwaudauwau naunaudaunuu, dāeyaunaa naunauauwujahede naunaudauau heee haunauwuthajaude. 
LUK.1.45	Nau hauwunaunade hesā henee hethauwuthajaude: hanau hena hayauhuhau hadnethauwunaasauau neethāedauwunade hehethee Vahadāhenith. 
LUK.1.46	Nau Mare hanaāenehede, Navadathuwu hauwaunehāde Vahadāhenith, 
LUK.1.47	Nau navadathuwu neethajaudaunaude Hejavaneauthu Nānayauhāde. 
LUK.1.48	Hanau nedaugauhauwaude hadavenuhuhau hedaununaunau: hanau, naune, hewaunehaa heejasesee vahee henaededaunau hauwunaunade hadnethanau. 
LUK.1.49	Hanau hena Naunaudāde vanasaunee hayauhuhau hasehānau; nau vadanaunee heneseede. 
LUK.1.50	Nau nauwunaunaude henee headaunādaunau henajāthee henaedede nau nausunee henaedede. 
LUK.1.51	Nenauhauthethāde hedāahede hejadenaa; neneāsauaunaude hesāethajauhuhau hedāhene. 
LUK.1.52	Nejananaude naunaudāhenethe hehethee hetheaugudaunene, nau nejejenanaude hadavenuhuhau. 
LUK.1.53	Negaudauhaude hasenahehau nauguu hethadenee; nau nethauyādahehehau negudanaude jessaa. 
LUK.1.54	Nenedahewaude heau Israel, nedauyewuwude hedauwuyau; 
LUK.1.55	Neesenehethaude havasevāene, Abraham nau hedāeyaunewau jethauujenee. 
LUK.1.56	Nau Mare haenedauguva hanāenethe hesese heee, nau hanaāejaehaude nehayau hedauauwuu. 
LUK.1.57	Wauhā Elisabeth hanaāevadauaudaude hadneejanesāde; nau hanaāeahede. 
LUK.1.58	Nau henedaudevādaunau nau henethesaunau haenedauwauthaa hasauwunaunāde Vahadāhenith haenauhauthehaa vanasaunee hauwunaunadede, nau haenetheneethajauvaa. 
LUK.1.59	Nau hethauwuu, henee hāenasaudauchunesee haejenauusanauau hadgauguusenith dāeyaunauau; nau haeadethanauau Zacharias, thauguu heneseedaunin henesaunaune. 
LUK.1.60	Nau henaune hegau, hāheyaugaune, Jaun hadnethade, 
LUK.1.61	Nau hathauhaugaunee hehauwuseenauau hādauānauau nuu neseede, 
LUK.1.62	Nau haevathasauwunanauau henesaunaunin, haadeneseenethe. 
LUK.1.63	Nau haenaudede dasewauthaunauha, nau haewauthaunauhā, Jaun haseede, hahagu. Nau haunauude haegaugauuthajaudene, 
LUK.1.64	Nau haegaunadenanauau, nau henethaune haegauchauunauaune, nau hanaāanadede, nau haevaveenethedauna Hejavaneathu. 
LUK.1.65	Nau nāthajaude haeedasā haunauude henee hathāeauchaunauthee: nau vahee nuu nehedaunau haegaugauudedaune jedauwuu hathāauau jauaudanenauauwuu Judea. 
LUK.1.66	Nau yahee hathāenedauvade haejenanauwu hedahenauau, haudduthā naa dāeyaunaa, hahagaunee? Nau hejadenene Vahadānith haeanedaudaunaa. 
LUK.1.67	Nau henesaunaune Zacharias haeechauchaunaudene Vadanauwauthauwu, nau haeaeyānautheda, 
LUK.1.68	Vaveenethedaunaa Vahadāde Hejavaneauthau Israel; hanau haenauujāda nau daujauaudaunaudauau hedenanedanede, 
LUK.1.69	Nau thauwaudanaude henenese hadnenayauhānauau jedauwuu hedauauwunene hedaununaune David; 
LUK.1.70	Dau nausunanadede hedenaa Hevadanaeyāhewau neenaedenethe hāejeenaedenauau: 
LUK.1.71	Henee hadnenanedanenauau hehethe haujauthavene, nau hehethee hejadenaa vahee hāthāasānavādaunene; 
LUK.1.72	Hethauwuu hauwunaunadede nesayānāedauwunaude havasevāene, nau hadnedauyewuwude Hevadanenesedauwau; 
LUK.1.73	Deneauwauhude yesee havasevāene Abraham, 
LUK.1.74	Henee hadvenānauau, jenāthajaude hehethee hejadenene haujauthavene hadnenayauhānauau hadnevevethedaunaunauau. 
